species
Aenictogiton_UG
Aenictogiton_ZM02
Alloformica_sp
Anillidris_sp
Arnoldius_AU01
Aulacopone_sp
Bondroitia_sp
Bregmatomyrma_sp
Chimaeridris_sp
Dicroaspis_KM01
Eburopone_CM02
Eburopone_MG
Eburopone_UG
Ecphorella_sp
Eusphinctus_TH
Formosimyrma_sp
Gaoligongidris_sp
Igaponera_sp
Ishakidris_sp
Lasiomyrma_IN01
Lividopone_MG
Paratopula_TH01
Peronomyrmex_sp
Pseudoatta_sp
Recurvidris_MM01
Recurvidris_TH01
Secostruma_MY01
Unicumyrmex_sp
Uwari_sp
